"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2016,1,"Ciutat Vella",1,"el Raval",47129,"109.8","429","948"
2016,1,"Ciutat Vella",2,"el Barri Gòtic",15614,"84.2","185","457"
2016,1,"Ciutat Vella",3,"la Barceloneta",15021,"131.4","114","1113"
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22306,"111.4","200","689"
2016,2,"Eixample",5,"el Fort Pienc",31653,"92.9","341","948"
2016,2,"Eixample",6,"la Sagrada Família",51322,"105.1","488","1002"
2016,2,"Eixample",7,"la Dreta de l'Eixample",43644,"212.3","206","383"
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41854,"123.4","339","625"
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57648,"133.8","431","883"
2016,2,"Eixample",10,"Sant Antoni",38184,"80.1","477","924"
2016,3,"Sants-Montjuïc",11,"el Poble Sec",40055,"460.5","87","1039"
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1143,"1428.4","1","32"
2016,3,"Sants-Montjuïc",13,"la Marina de Port",30385,"125.5","242","774"
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10302,"30.2","341","903"
2016,3,"Sants-Montjuïc",15,"Hostafrancs",15889,"41.0","387","710"
2016,3,"Sants-Montjuïc",16,"la Bordeta",18512,"57.7","321","897"
2016,3,"Sants-Montjuïc",17,"Sants - Badal",23906,"41.1","582","951"
2016,3,"Sants-Montjuïc",18,"Sants",40785,"109.8","372","734"
2016,4,"Les Corts",19,"les Corts",45932,"141.3","325","704"
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon",23848,"190.3","125","731"
2016,4,"Les Corts",21,"Pedralbes",11862,"270.2","44","144"
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4632,"1152.2","4","52"
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià",24799,"304.2","82","258"
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16473,"78.8","209","387"
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25665,"223.5","115","313"
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",47089,"165.9","284","493"
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29368,"84.6","347","552"
2016,6,"Gràcia",28,"Vallcarca i els Penitents",15591,"120.9","129","333"
2016,6,"Gràcia",29,"el Coll",7391,"35.8","207","596"
2016,6,"Gràcia",30,"la Salut",13118,"64.3","204","684"
2016,6,"Gràcia",31,"la Vila de Gràcia",50584,"132.6","381","606"
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34234,"65.0","527","888"
2016,7,"Horta-Guinardó",33,"el Baix Guinardó",25547,"56.0","456","1077"
2016,7,"Horta-Guinardó",34,"Can Baró",8965,"38.4","234","625"
2016,7,"Horta-Guinardó",35,"el Guinardó",36136,"130.8","276","693"
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues",9400,"65.7","143","238"
2016,7,"Horta-Guinardó",37,"el Carmel",31355,"94.2","333","795"
2016,7,"Horta-Guinardó",38,"la Teixonera",11277,"33.7","335","599"
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6725,"171.6","39","372"
2016,7,"Horta-Guinardó",40,"Montbau",5053,"204.7","25","441"
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron",5686,"73.6","77","732"
2016,7,"Horta-Guinardó",42,"la Clota",583,"17.8","33","95"
2016,7,"Horta-Guinardó",43,"Horta",26541,"308.2","86","419"
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25508,"56.7","450","880"
2016,8,"Nou Barris",45,"Porta",24519,"84.1","292","697"
2016,8,"Nou Barris",46,"el Turó de la Peira",15364,"35.4","434","1144"
2016,8,"Nou Barris",47,"Can Peguera",2258,"12.0","189","373"
