"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2016,8,"Nou Barris",48,"la Guineueta",15043,"61.1","246","674"
2016,8,"Nou Barris",49,"Canyelles",6923,"79.3","87","622"
2016,8,"Nou Barris",50,"les Roquetes",15398,"64.2","240","846"
2016,8,"Nou Barris",51,"Verdun",12260,"23.7","516","859"
2016,8,"Nou Barris",52,"la Prosperitat",26167,"59.5","440","957"
2016,8,"Nou Barris",53,"la Trinitat Nova",7257,"56.0","130","577"
2016,8,"Nou Barris",54,"Torre Baró",2791,"176.8","16","132"
2016,8,"Nou Barris",55,"Ciutat Meridiana",10041,"35.5","283","663"
2016,8,"Nou Barris",56,"Vallbona",1352,"59.8","23","199"
2016,9,"Sant Andreu",57,"la Trinitat Vella",10032,"81.0","124","790"
2016,9,"Sant Andreu",58,"Baró de Viver",2507,"23.0","109","641"
2016,9,"Sant Andreu",59,"el Bon Pastor",12589,"188.2","67","704"
2016,9,"Sant Andreu",60,"Sant Andreu",56683,"184.1","308","738"
2016,9,"Sant Andreu",61,"la Sagrera",28796,"97.2","296","728"
2016,9,"Sant Andreu",62,"el Congrés i els Indians",14044,"40.7","345","730"
2016,9,"Sant Andreu",63,"Navas",22080,"42.3","522","981"
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38104,"74.2","514","887"
2016,10,"Sant Martí",65,"el Clot",26898,"69.6","386","1139"
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14838,"111.4","133","745"
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9335,"94.3","99","386"
2016,10,"Sant Martí",68,"el Poblenou",33586,"154.5","217","789"
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13397,"123.7","108","582"
2016,10,"Sant Martí",70,"el Besòs i el Maresme",22746,"127.4","178","888"
2016,10,"Sant Martí",71,"Provençals del Poblenou",20369,"110.5","184","1511"
2016,10,"Sant Martí",72,"Sant Martí de Provençals",26010,"74.5","349","1149"
2016,10,"Sant Martí",73,"la Verneda i la Pau",28645,"112.3","255","714"
