"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2011,1,"Ciutat Vella",1,"el Raval",47700,"109.8","434","958"
2011,1,"Ciutat Vella",2,"el Barri Gòtic",17687,"84.2","210","518"
2011,1,"Ciutat Vella",3,"la Barceloneta",15766,"131.4","120","1210"
2011,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22410,"111.4","201","694"
2011,2,"Eixample",5,"el Fort Pienc",32384,"92.9","349","970"
2011,2,"Eixample",6,"la Sagrada Família",52009,"105.1","495","1010"
2011,2,"Eixample",7,"la Dreta de l'Eixample",42910,"212.3","202","377"
2011,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41466,"123.4","336","619"
2011,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57706,"133.8","431","880"
2011,2,"Eixample",10,"Sant Antoni",38002,"80.1","474","916"
2011,3,"Sants-Montjuïc",11,"el Poble Sec",40547,"460.5","88","1129"
2011,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1124,"1428.4","1","31"
2011,3,"Sants-Montjuïc",13,"la Marina de Port",30243,"125.5","241","752"
2011,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10223,"30.2","338","896"
2011,3,"Sants-Montjuïc",15,"Hostafrancs",15845,"41.0","386","708"
2011,3,"Sants-Montjuïc",16,"la Bordeta",18499,"57.7","321","895"
2011,3,"Sants-Montjuïc",17,"Sants - Badal",24360,"41.1","593","969"
2011,3,"Sants-Montjuïc",18,"Sants",41976,"109.8","382","756"
2011,4,"Les Corts",19,"les Corts",47173,"141.3","334","726"
2011,4,"Les Corts",20,"la Maternitat i Sant Ramon",23622,"190.3","124","723"
2011,4,"Les Corts",21,"Pedralbes",11641,"270.2","43","143"
2011,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4299,"1152.2","4","48"
2011,5,"Sarrià-Sant Gervasi",23,"Sarrià",23946,"304.2","79","255"
2011,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15770,"78.8","200","371"
2011,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24330,"223.5","109","295"
2011,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46217,"165.9","279","484"
2011,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29992,"84.6","354","564"
2011,6,"Gràcia",28,"Vallcarca i els Penitents",15417,"120.9","128","328"
2011,6,"Gràcia",29,"el Coll",7303,"35.8","204","589"
2011,6,"Gràcia",30,"la Salut",13154,"64.4","204","678"
2011,6,"Gràcia",31,"la Vila de Gràcia",51228,"132.6","386","613"
2011,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34438,"65.0","530","895"
2011,7,"Horta-Guinardó",33,"el Baix Guinardó",26022,"56.0","465","1097"
2011,7,"Horta-Guinardó",34,"Can Baró",8928,"38.4","233","623"
2011,7,"Horta-Guinardó",35,"el Guinardó",35687,"130.8","273","682"
2011,7,"Horta-Guinardó",36,"la Font d'en Fargues",9530,"65.7","145","241"
2011,7,"Horta-Guinardó",37,"el Carmel",32108,"94.2","341","822"
2011,7,"Horta-Guinardó",38,"la Teixonera",11796,"33.7","350","626"
2011,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",7035,"171.6","41","389"
2011,7,"Horta-Guinardó",40,"Montbau",5211,"204.7","25","446"
2011,7,"Horta-Guinardó",41,"la Vall d'Hebron",5580,"73.6","76","685"
2011,7,"Horta-Guinardó",42,"la Clota",462,"17.8","26","75"
2011,7,"Horta-Guinardó",43,"Horta",27537,"308.2","89","435"
2011,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25429,"56.7","448","873"
2011,8,"Nou Barris",45,"Porta",23780,"84.1","283","683"
2011,8,"Nou Barris",46,"el Turó de la Peira",16726,"35.4","472","1246"
2011,8,"Nou Barris",47,"Can Peguera",2240,"12.0","187","270"
2011,8,"Nou Barris",48,"la Guineueta",15268,"61.1","250","679"
2011,8,"Nou Barris",49,"Canyelles",7240,"79.3","91","796"
2011,8,"Nou Barris",50,"les Roquetes",15987,"64.2","249","872"
2011,8,"Nou Barris",51,"Verdun",12308,"23.7","518","845"
2011,8,"Nou Barris",52,"la Prosperitat",26566,"59.5","447","975"
2011,8,"Nou Barris",53,"la Trinitat Nova",7704,"56.0","138","613"
2011,8,"Nou Barris",54,"Torre Baró",2172,"176.8","12","101"
2011,8,"Nou Barris",55,"Ciutat Meridiana",10874,"35.5","306","718"
2011,8,"Nou Barris",56,"Vallbona",1343,"59.8","22","199"
2011,9,"Sant Andreu",57,"la Trinitat Vella",10385,"81.0","128","816"
2011,9,"Sant Andreu",58,"Baró de Viver",2414,"23.0","105","617"
2011,9,"Sant Andreu",59,"el Bon Pastor",13597,"188.2","72","846"
2011,9,"Sant Andreu",60,"Sant Andreu",56103,"184.1","305","746"
2011,9,"Sant Andreu",61,"la Sagrera",29138,"97.2","300","739"
2011,9,"Sant Andreu",62,"el Congrés i els Indians",14011,"40.7","344","694"
2011,9,"Sant Andreu",63,"Navas",21722,"42.3","513","959"
2011,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",37969,"74.2","512","884"
2011,10,"Sant Martí",65,"el Clot",27379,"69.6","393","1159"
2011,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",13736,"111.4","123","699"
2011,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9252,"94.3","98","383"
2011,10,"Sant Martí",68,"el Poblenou",32089,"154.5","208","753"
2011,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",12008,"123.7","97","522"
2011,10,"Sant Martí",70,"el Besòs i el Maresme",23948,"127.4","188","906"
2011,10,"Sant Martí",71,"Provençals del Poblenou",19560,"110.5","177","1451"
2011,10,"Sant Martí",72,"Sant Martí de Provençals",26164,"74.5","351","1151"
2011,10,"Sant Martí",73,"la Verneda i la Pau",29053,"112.3","259","964"
