"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2015,1,"Ciutat Vella",1,"el Raval",47142,"109.8","429","949"
2015,1,"Ciutat Vella",2,"el Barri Gòtic",15484,"84.2","184","454"
2015,1,"Ciutat Vella",3,"la Barceloneta",15032,"131.4","114","1149"
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22457,"111.4","202","695"
2015,2,"Eixample",5,"el Fort Pienc",31543,"92.9","340","944"
2015,2,"Eixample",6,"la Sagrada Família",51097,"105.1","486","995"
2015,2,"Eixample",7,"la Dreta de l'Eixample",43556,"212.3","205","382"
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41664,"123.4","338","622"
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57665,"133.8","431","876"
2015,2,"Eixample",10,"Sant Antoni",38033,"80.1","475","917"
2015,3,"Sants-Montjuïc",11,"el Poble Sec",40208,"460.5","87","1016"
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1125,"1428.4","1","31"
2015,3,"Sants-Montjuïc",13,"la Marina de Port",30232,"125.5","241","773"
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10366,"30.2","343","909"
2015,3,"Sants-Montjuïc",15,"Hostafrancs",15747,"41.0","384","703"
2015,3,"Sants-Montjuïc",16,"la Bordeta",18378,"57.7","319","890"
2015,3,"Sants-Montjuïc",17,"Sants - Badal",24014,"41.1","585","956"
2015,3,"Sants-Montjuïc",18,"Sants",40687,"109.8","371","732"
2015,4,"Les Corts",19,"les Corts",46000,"141.3","326","705"
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon",23817,"190.3","125","729"
2015,4,"Les Corts",21,"Pedralbes",11713,"270.2","43","143"
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4602,"1152.4","4","51"
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià",24641,"304.2","81","261"
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16498,"78.8","209","388"
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25246,"223.5","113","308"
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46708,"165.9","282","489"
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29139,"84.6","344","547"
2015,6,"Gràcia",28,"Vallcarca i els Penitents",15492,"120.9","128","331"
2015,6,"Gràcia",29,"el Coll",7349,"35.8","205","593"
2015,6,"Gràcia",30,"la Salut",13227,"64.3","206","689"
