Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,185,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,138,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,76,3
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,50,4
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,5
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,6
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,7
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,8
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,9
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,214,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,133,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,73,3
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,44,4
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,31,5
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,6
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,7
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,8
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,23,9
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,329,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,235,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,156,3
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,128,4
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,78,5
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,47,6
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,25,7
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,22,8
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,30,9
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,394,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,272,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,157,3
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,126,4
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,49,5
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,33,6
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,18,7
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,8
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,27,9
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,329,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,257,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,122,3
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,91,4
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,46,5
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,32,6
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,17,7
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,13,8
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,26,9
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,227,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,147,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,84,3
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,44,4
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,38,5
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,14,6
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,21,7
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,8,8
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,18,9
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,218,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,147,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,99,3
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,73,4
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,40,5
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,23,6
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,21,7
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,12,8
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,36,9
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,295,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,215,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,137,3
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,106,4
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,82,5
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,54,6
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,35,7
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,20,8
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,43,9
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,288,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,206,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,110,3
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,84,4
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,45,5
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,21,6
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,7
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,12,8
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,20,9
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,237,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,174,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,109,3
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,79,4
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,57,5
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,40,6
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,32,7
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,19,8
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,34,9
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,391,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,241,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,139,3
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,114,4
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,80,5
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,46,6
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,30,7
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,24,8
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,38,9
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,282,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,158,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,103,3
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,68,4
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,52,5
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,19,6
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,15,7
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,13,8
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,14,9
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,151,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,136,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,59,3
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,50,4
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,34,5
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,23,6
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,14,7
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,4,8
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,15,9
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,152,1
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,131,2
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,86,3
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,64,4
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,36,5
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,35,6
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,17,7
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,7,8
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,27,9
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,260,1
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,188,2
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,132,3
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,87,4
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,56,5
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,31,6
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,21,7
