Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,183,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,121,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,78,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,4
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,5
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,6
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,7
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,8
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,9
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,207,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,117,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,62,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,59,4
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,33,5
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,22,6
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,7
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,8
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,9
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,335,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,237,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,154,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,104,4
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,84,5
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,43,6
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,31,7
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,19,8
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,9
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,362,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,286,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,149,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,117,4
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,53,5
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,24,6
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,22,7
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,6,8
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,28,9
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,327,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,257,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,117,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,88,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,46,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,29,6
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,16,7
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,8
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,29,9
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,229,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,164,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,65,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,46,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,33,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,19,6
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,7
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,8
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,20,9
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,223,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,149,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,96,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,71,4
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,34,5
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,25,6
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,14,7
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,13,8
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,39,9
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,321,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,205,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,124,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,102,4
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,86,5
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,59,6
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,37,7
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,31,8
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,42,9
