Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
2016,1,Ciutat Vella,1,el Raval,1,1001,..,177,2,1
2016,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,1
2016,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,2
2016,1,Ciutat Vella,1,el Raval,1,1001,..,234,3,2
2016,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,1
2016,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,2
2016,1,Ciutat Vella,1,el Raval,1,1001,..,161,3,1
2016,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,1
2016,1,Ciutat Vella,1,el Raval,1,1002,6,58,4,2
2016,1,Ciutat Vella,1,el Raval,1,1002,..,19,3,1
2016,1,Ciutat Vella,1,el Raval,1,1002,..,19,3,2
2016,1,Ciutat Vella,1,el Raval,1,1002,..,65,3,2
2016,1,Ciutat Vella,1,el Raval,1,1002,..,101,3,1
2016,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,1
2016,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,2
2016,1,Ciutat Vella,1,el Raval,1,1002,..,200,3,2
2016,1,Ciutat Vella,1,el Raval,2,1003,..,22,4,1
2016,1,Ciutat Vella,1,el Raval,2,1003,10,58,4,1
2016,1,Ciutat Vella,1,el Raval,2,1003,10,58,4,2
2016,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,2
2016,1,Ciutat Vella,1,el Raval,2,1003,..,154,1,2
2016,1,Ciutat Vella,1,el Raval,2,1003,..,152,2,2
2016,1,Ciutat Vella,1,el Raval,2,1003,..,167,2,1
2016,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,1
2016,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,2
2016,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,2
2016,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,1
