Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
2012,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,1
2012,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,1,1001,..,4,4,2
2012,1,Ciutat Vella,1,el Raval,1,1001,..,135,1,1
2012,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,1,1001,..,65,3,1
2012,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,1
2012,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,2
2012,1,Ciutat Vella,1,el Raval,1,1001,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,1,1002,5,58,4,1
2012,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,1,1002,..,140,2,2
2012,1,Ciutat Vella,1,el Raval,1,1002,..,177,2,2
2012,1,Ciutat Vella,1,el Raval,1,1002,..,233,2,2
2012,1,Ciutat Vella,1,el Raval,1,1002,..,234,3,1
2012,1,Ciutat Vella,1,el Raval,1,1002,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,1,1002,..,101,3,2
2012,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,2
2012,1,Ciutat Vella,1,el Raval,2,1003,..,58,4,1
2012,1,Ciutat Vella,1,el Raval,2,1003,7,58,4,2
2012,1,Ciutat Vella,1,el Raval,2,1003,..,105,4,1
2012,1,Ciutat Vella,1,el Raval,2,1003,..,5,1,1
2012,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,1
2012,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,2,1003,..,233,2,1
2012,1,Ciutat Vella,1,el Raval,2,1003,5,19,3,2
2012,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,1
2012,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,2
2012,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,2
2012,1,Ciutat Vella,1,el Raval,2,1004,5,58,4,1
2012,1,Ciutat Vella,1,el Raval,2,1004,5,58,4,2
2012,1,Ciutat Vella,1,el Raval,2,1004,..,108,4,2
2012,1,Ciutat Vella,1,el Raval,2,1004,..,135,1,1
2012,1,Ciutat Vella,1,el Raval,2,1004,..,54,2,1
2012,1,Ciutat Vella,1,el Raval,2,1004,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,2,1004,..,65,3,1
2012,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,3,1005,9,58,4,1
2012,1,Ciutat Vella,1,el Raval,3,1005,7,58,4,2
2012,1,Ciutat Vella,1,el Raval,3,1005,..,170,4,2
2012,1,Ciutat Vella,1,el Raval,3,1005,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,3,1005,..,177,2,2
2012,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,2
2012,1,Ciutat Vella,1,el Raval,3,1005,..,101,3,1
2012,1,Ciutat Vella,1,el Raval,3,1005,..,101,3,2
2012,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,1
2012,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,3,1006,..,108,4,2
2012,1,Ciutat Vella,1,el Raval,3,1006,..,179,4,1
2012,1,Ciutat Vella,1,el Raval,3,1006,..,5,1,2
2012,1,Ciutat Vella,1,el Raval,3,1006,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,3,1006,..,233,2,1
2012,1,Ciutat Vella,1,el Raval,3,1006,..,166,2,2
2012,1,Ciutat Vella,1,el Raval,3,1006,..,234,3,1
2012,1,Ciutat Vella,1,el Raval,3,1006,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,3,1006,..,101,3,1
2012,1,Ciutat Vella,1,el Raval,3,1006,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,3,1006,..,161,3,2
2012,1,Ciutat Vella,1,el Raval,3,1007,..,32,4,1
2012,1,Ciutat Vella,1,el Raval,3,1007,8,58,4,1
2012,1,Ciutat Vella,1,el Raval,3,1007,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,3,1007,..,67,4,1
2012,1,Ciutat Vella,1,el Raval,3,1007,..,108,4,1
2012,1,Ciutat Vella,1,el Raval,3,1007,..,108,4,2
2012,1,Ciutat Vella,1,el Raval,3,1007,..,179,4,2
2012,1,Ciutat Vella,1,el Raval,3,1007,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,3,1007,..,27,2,1
2012,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,2
2012,1,Ciutat Vella,1,el Raval,3,1007,..,65,3,1
2012,1,Ciutat Vella,1,el Raval,3,1007,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,3,1007,..,161,3,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,58,4,1
2012,1,Ciutat Vella,1,el Raval,4,1008,6,58,4,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,179,4,1
2012,1,Ciutat Vella,1,el Raval,4,1008,..,179,4,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,27,2,1
2012,1,Ciutat Vella,1,el Raval,4,1008,..,27,2,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,167,2,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,4,1008,..,19,3,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,4,1008,..,101,3,2
2012,1,Ciutat Vella,1,el Raval,4,1008,6,161,3,1
2012,1,Ciutat Vella,1,el Raval,4,1008,6,161,3,2
2012,1,Ciutat Vella,1,el Raval,4,1009,..,58,4,1
2012,1,Ciutat Vella,1,el Raval,4,1009,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,4,1009,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,4,1009,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,4,1009,..,19,3,2
2012,1,Ciutat Vella,1,el Raval,4,1009,..,65,3,1
2012,1,Ciutat Vella,1,el Raval,4,1009,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,4,1009,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,4,1009,..,161,3,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,58,4,1
2012,1,Ciutat Vella,1,el Raval,4,1010,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,67,4,1
2012,1,Ciutat Vella,1,el Raval,4,1010,..,207,4,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,135,1,1
2012,1,Ciutat Vella,1,el Raval,4,1010,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,219,1,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,30,2,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,54,2,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,166,2,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,4,1010,..,19,3,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,234,3,1
2012,1,Ciutat Vella,1,el Raval,4,1010,..,65,3,1
2012,1,Ciutat Vella,1,el Raval,4,1010,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,4,1010,..,101,3,1
2012,1,Ciutat Vella,1,el Raval,4,1010,7,161,3,2
2012,1,Ciutat Vella,1,el Raval,5,1011,7,58,4,1
2012,1,Ciutat Vella,1,el Raval,5,1011,9,58,4,2
2012,1,Ciutat Vella,1,el Raval,5,1011,..,105,4,2
2012,1,Ciutat Vella,1,el Raval,5,1011,..,108,4,1
2012,1,Ciutat Vella,1,el Raval,5,1011,..,225,4,2
2012,1,Ciutat Vella,1,el Raval,5,1011,..,5,1,1
2012,1,Ciutat Vella,1,el Raval,5,1011,..,135,1,1
2012,1,Ciutat Vella,1,el Raval,5,1011,..,135,1,2
2012,1,Ciutat Vella,1,el Raval,5,1011,..,177,2,2
2012,1,Ciutat Vella,1,el Raval,5,1011,..,19,3,1
2012,1,Ciutat Vella,1,el Raval,5,1011,5,19,3,2
2012,1,Ciutat Vella,1,el Raval,5,1011,..,65,3,1
2012,1,Ciutat Vella,1,el Raval,5,1011,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,5,1011,..,161,3,1
2012,1,Ciutat Vella,1,el Raval,5,1011,..,161,3,2
2012,1,Ciutat Vella,1,el Raval,5,1012,7,58,4,1
2012,1,Ciutat Vella,1,el Raval,5,1012,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,5,1012,..,5,1,2
2012,1,Ciutat Vella,1,el Raval,5,1012,..,54,2,2
2012,1,Ciutat Vella,1,el Raval,5,1012,..,19,3,2
2012,1,Ciutat Vella,1,el Raval,5,1012,..,65,3,1
2012,1,Ciutat Vella,1,el Raval,5,1012,..,65,3,2
2012,1,Ciutat Vella,1,el Raval,5,1012,..,161,3,2
2012,1,Ciutat Vella,1,el Raval,5,1013,..,58,4,1
2012,1,Ciutat Vella,1,el Raval,5,1013,..,58,4,2
2012,1,Ciutat Vella,1,el Raval,5,1013,..,108,4,1
2012,1,Ciutat Vella,1,el Raval,5,1013,..,219,1,1
