Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
2018,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,1,1001,6,58,4,2
2018,1,Ciutat Vella,1,el Raval,1,1001,..,67,4,2
2018,1,Ciutat Vella,1,el Raval,1,1001,5,19,3,1
2018,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,1,1001,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,1
2018,1,Ciutat Vella,1,el Raval,1,1001,..,151,3,2
2018,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,1,1002,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,1,1002,..,200,3,1
2018,1,Ciutat Vella,1,el Raval,2,1003,9,58,4,1
2018,1,Ciutat Vella,1,el Raval,2,1003,7,58,4,2
2018,1,Ciutat Vella,1,el Raval,2,1003,..,67,4,1
2018,1,Ciutat Vella,1,el Raval,2,1003,..,179,4,1
2018,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,2
2018,1,Ciutat Vella,1,el Raval,2,1003,..,154,1,2
2018,1,Ciutat Vella,1,el Raval,2,1003,..,177,2,2
2018,1,Ciutat Vella,1,el Raval,2,1003,..,167,2,1
2018,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,1
2018,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,2
2018,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,2,1004,10,58,4,1
2018,1,Ciutat Vella,1,el Raval,2,1004,6,58,4,2
2018,1,Ciutat Vella,1,el Raval,2,1004,..,170,4,1
2018,1,Ciutat Vella,1,el Raval,2,1004,..,181,4,1
2018,1,Ciutat Vella,1,el Raval,2,1004,..,135,1,1
2018,1,Ciutat Vella,1,el Raval,2,1004,..,30,2,2
2018,1,Ciutat Vella,1,el Raval,2,1004,..,39,2,1
2018,1,Ciutat Vella,1,el Raval,2,1004,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,2,1004,..,101,3,1
2018,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,3,1005,5,58,4,1
2018,1,Ciutat Vella,1,el Raval,3,1005,6,58,4,2
2018,1,Ciutat Vella,1,el Raval,3,1005,..,181,4,1
2018,1,Ciutat Vella,1,el Raval,3,1005,..,135,1,1
2018,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,3,1005,..,101,3,1
2018,1,Ciutat Vella,1,el Raval,3,1005,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,3,1006,..,4,4,2
2018,1,Ciutat Vella,1,el Raval,3,1006,..,179,4,1
2018,1,Ciutat Vella,1,el Raval,3,1006,..,5,1,1
2018,1,Ciutat Vella,1,el Raval,3,1006,..,5,1,2
2018,1,Ciutat Vella,1,el Raval,3,1006,..,135,1,1
2018,1,Ciutat Vella,1,el Raval,3,1006,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,3,1006,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,3,1006,..,65,3,2
2018,1,Ciutat Vella,1,el Raval,3,1007,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,3,1007,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,3,1007,..,108,4,1
2018,1,Ciutat Vella,1,el Raval,3,1007,..,179,4,2
2018,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,3,1007,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,4,1008,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,4,1008,7,58,4,2
2018,1,Ciutat Vella,1,el Raval,4,1008,..,12,3,2
2018,1,Ciutat Vella,1,el Raval,4,1008,..,135,1,1
2018,1,Ciutat Vella,1,el Raval,4,1008,..,135,1,2
2018,1,Ciutat Vella,1,el Raval,4,1008,..,177,2,2
2018,1,Ciutat Vella,1,el Raval,4,1008,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,4,1008,6,19,3,2
2018,1,Ciutat Vella,1,el Raval,4,1008,..,65,3,2
2018,1,Ciutat Vella,1,el Raval,4,1008,7,161,3,1
2018,1,Ciutat Vella,1,el Raval,4,1008,9,161,3,2
2018,1,Ciutat Vella,1,el Raval,4,1009,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,4,1009,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,4,1009,..,73,4,2
2018,1,Ciutat Vella,1,el Raval,4,1009,..,27,2,2
2018,1,Ciutat Vella,1,el Raval,4,1009,..,230,2,2
2018,1,Ciutat Vella,1,el Raval,4,1009,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,4,1009,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,4,1009,..,65,3,2
2018,1,Ciutat Vella,1,el Raval,4,1009,..,101,3,1
2018,1,Ciutat Vella,1,el Raval,4,1009,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,4,1009,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,4,1010,5,58,4,1
2018,1,Ciutat Vella,1,el Raval,4,1010,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,4,1010,..,171,4,2
2018,1,Ciutat Vella,1,el Raval,4,1010,..,135,1,1
2018,1,Ciutat Vella,1,el Raval,4,1010,..,135,1,2
2018,1,Ciutat Vella,1,el Raval,4,1010,6,19,3,1
2018,1,Ciutat Vella,1,el Raval,4,1010,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,4,1010,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,4,1010,..,65,3,2
2018,1,Ciutat Vella,1,el Raval,4,1010,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,4,1010,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,4,1010,..,200,3,1
2018,1,Ciutat Vella,1,el Raval,5,1011,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,5,1011,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,5,1011,..,135,1,2
2018,1,Ciutat Vella,1,el Raval,5,1011,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,5,1011,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,5,1011,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,5,1011,..,101,3,2
2018,1,Ciutat Vella,1,el Raval,5,1011,..,151,3,2
2018,1,Ciutat Vella,1,el Raval,5,1011,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,5,1011,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,5,1011,..,200,3,1
2018,1,Ciutat Vella,1,el Raval,5,1011,..,200,3,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,5,1012,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,67,4,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,4,4,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,135,1,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,5,1012,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,234,3,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,101,3,2
2018,1,Ciutat Vella,1,el Raval,5,1012,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,5,1012,..,200,3,1
2018,1,Ciutat Vella,1,el Raval,5,1012,..,200,3,2
2018,1,Ciutat Vella,1,el Raval,5,1013,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,5,1013,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,5,1013,..,88,4,1
2018,1,Ciutat Vella,1,el Raval,5,1013,..,160,4,2
2018,1,Ciutat Vella,1,el Raval,5,1013,..,177,2,2
2018,1,Ciutat Vella,1,el Raval,5,1013,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,5,1013,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,6,1014,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,6,1014,..,59,2,1
2018,1,Ciutat Vella,1,el Raval,6,1014,..,52,2,2
2018,1,Ciutat Vella,1,el Raval,6,1014,..,177,2,1
2018,1,Ciutat Vella,1,el Raval,6,1014,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,6,1014,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,6,1014,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,6,1014,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,6,1015,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,6,1015,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,6,1015,..,66,4,2
2018,1,Ciutat Vella,1,el Raval,6,1015,..,67,4,1
2018,1,Ciutat Vella,1,el Raval,6,1015,..,5,1,1
2018,1,Ciutat Vella,1,el Raval,6,1015,..,39,2,2
2018,1,Ciutat Vella,1,el Raval,6,1015,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,6,1015,5,19,3,2
2018,1,Ciutat Vella,1,el Raval,6,1015,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,6,1015,5,65,3,2
2018,1,Ciutat Vella,1,el Raval,6,1015,..,161,3,1
2018,1,Ciutat Vella,1,el Raval,6,1015,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,6,1016,..,58,4,1
2018,1,Ciutat Vella,1,el Raval,6,1016,..,58,4,2
2018,1,Ciutat Vella,1,el Raval,6,1016,..,108,4,1
2018,1,Ciutat Vella,1,el Raval,6,1016,..,19,3,1
2018,1,Ciutat Vella,1,el Raval,6,1016,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,6,1016,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,6,1016,..,65,3,2
2018,1,Ciutat Vella,1,el Raval,6,1016,..,101,3,2
2018,1,Ciutat Vella,1,el Raval,6,1016,..,161,3,2
2018,1,Ciutat Vella,1,el Raval,6,1017,6,58,4,1
2018,1,Ciutat Vella,1,el Raval,6,1017,5,58,4,2
2018,1,Ciutat Vella,1,el Raval,6,1017,..,67,4,1
2018,1,Ciutat Vella,1,el Raval,6,1017,..,19,3,2
2018,1,Ciutat Vella,1,el Raval,6,1017,..,65,3,1
2018,1,Ciutat Vella,1,el Raval,6,1017,7,65,3,2
