Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
2013,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,2
2013,1,Ciutat Vella,1,el Raval,1,1001,..,4,4,2
2013,1,Ciutat Vella,1,el Raval,1,1001,..,179,4,2
2013,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,1
2013,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,2
2013,1,Ciutat Vella,1,el Raval,1,1001,..,65,3,1
2013,1,Ciutat Vella,1,el Raval,1,1001,..,161,3,2
2013,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,1
2013,1,Ciutat Vella,1,el Raval,1,1002,..,108,4,1
2013,1,Ciutat Vella,1,el Raval,1,1002,..,179,4,2
2013,1,Ciutat Vella,1,el Raval,1,1002,..,167,2,2
2013,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,1
2013,1,Ciutat Vella,1,el Raval,2,1003,8,58,4,1
2013,1,Ciutat Vella,1,el Raval,2,1003,..,58,4,2
2013,1,Ciutat Vella,1,el Raval,2,1003,..,179,4,2
2013,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,2
2013,1,Ciutat Vella,1,el Raval,2,1003,..,177,2,2
2013,1,Ciutat Vella,1,el Raval,2,1003,..,27,2,2
2013,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,1
2013,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,2
2013,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,1
2013,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,2
2013,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,1
2013,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,2
2013,1,Ciutat Vella,1,el Raval,2,1003,5,161,3,1
2013,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,2
2013,1,Ciutat Vella,1,el Raval,2,1004,7,58,4,1
2013,1,Ciutat Vella,1,el Raval,2,1004,7,58,4,2
2013,1,Ciutat Vella,1,el Raval,2,1004,..,5,1,1
2013,1,Ciutat Vella,1,el Raval,2,1004,..,5,1,2
2013,1,Ciutat Vella,1,el Raval,2,1004,..,135,1,1
2013,1,Ciutat Vella,1,el Raval,2,1004,..,27,2,2
2013,1,Ciutat Vella,1,el Raval,2,1004,..,19,3,2
2013,1,Ciutat Vella,1,el Raval,2,1004,..,65,3,2
2013,1,Ciutat Vella,1,el Raval,2,1004,..,101,3,2
