Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
2022,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,177,2,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,67,4,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,73,4,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,181,4,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,51,1,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,11,2,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,19,3,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,101,3,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,2
2022,1,Ciutat Vella,1,el Raval,2,1003,..,3,4,1
2022,1,Ciutat Vella,1,el Raval,2,1003,7,58,4,1
2022,1,Ciutat Vella,1,el Raval,2,1003,6,58,4,2
2022,1,Ciutat Vella,1,el Raval,2,1003,..,73,4,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,154,1,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,154,1,2
2022,1,Ciutat Vella,1,el Raval,2,1003,..,30,2,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,39,2,2
2022,1,Ciutat Vella,1,el Raval,2,1003,..,167,2,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,2
2022,1,Ciutat Vella,1,el Raval,2,1003,..,234,3,2
2022,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,2
2022,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,2
2022,1,Ciutat Vella,1,el Raval,2,1004,..,58,4,1
2022,1,Ciutat Vella,1,el Raval,2,1004,6,58,4,2
2022,1,Ciutat Vella,1,el Raval,2,1004,..,171,4,1
2022,1,Ciutat Vella,1,el Raval,2,1004,..,174,4,2
2022,1,Ciutat Vella,1,el Raval,2,1004,..,125,4,1
2022,1,Ciutat Vella,1,el Raval,2,1004,..,27,2,1
2022,1,Ciutat Vella,1,el Raval,2,1004,..,30,2,2
2022,1,Ciutat Vella,1,el Raval,2,1004,..,54,2,2
2022,1,Ciutat Vella,1,el Raval,2,1004,5,19,3,1
2022,1,Ciutat Vella,1,el Raval,2,1004,..,19,3,2
2022,1,Ciutat Vella,1,el Raval,2,1004,..,101,3,1
2022,1,Ciutat Vella,1,el Raval,2,1004,..,101,3,2
2022,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,1
2022,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,2
2022,1,Ciutat Vella,1,el Raval,3,1005,..,58,4,1
2022,1,Ciutat Vella,1,el Raval,3,1005,..,58,4,2
2022,1,Ciutat Vella,1,el Raval,3,1005,..,70,3,2
2022,1,Ciutat Vella,1,el Raval,3,1005,..,135,1,1
2022,1,Ciutat Vella,1,el Raval,3,1005,..,135,1,2
2022,1,Ciutat Vella,1,el Raval,3,1005,..,167,2,2
2022,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,1
2022,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,2
2022,1,Ciutat Vella,1,el Raval,3,1005,..,101,3,1
2022,1,Ciutat Vella,1,el Raval,3,1005,..,161,3,2
2022,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,1
2022,1,Ciutat Vella,1,el Raval,3,1006,..,120,4,2
2022,1,Ciutat Vella,1,el Raval,3,1006,..,177,2,2
2022,1,Ciutat Vella,1,el Raval,3,1006,..,39,2,2
2022,1,Ciutat Vella,1,el Raval,3,1006,..,19,3,1
2022,1,Ciutat Vella,1,el Raval,3,1006,..,19,3,2
2022,1,Ciutat Vella,1,el Raval,3,1006,..,101,3,1
2022,1,Ciutat Vella,1,el Raval,3,1006,..,161,3,1
2022,1,Ciutat Vella,1,el Raval,3,1007,5,58,4,1
2022,1,Ciutat Vella,1,el Raval,3,1007,5,58,4,2
2022,1,Ciutat Vella,1,el Raval,3,1007,..,108,4,1
2022,1,Ciutat Vella,1,el Raval,3,1007,..,108,4,2
2022,1,Ciutat Vella,1,el Raval,3,1007,..,135,1,1
2022,1,Ciutat Vella,1,el Raval,3,1007,..,135,1,2
2022,1,Ciutat Vella,1,el Raval,3,1007,..,195,1,1
2022,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,1
2022,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,2
2022,1,Ciutat Vella,1,el Raval,3,1007,..,101,3,2
