Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
2010,1,Ciutat Vella,1,el Raval,1,1001,6,58,4,1
2010,1,Ciutat Vella,1,el Raval,1,1001,..,58,4,2
2010,1,Ciutat Vella,1,el Raval,1,1001,..,135,1,2
2010,1,Ciutat Vella,1,el Raval,1,1001,..,27,2,2
2010,1,Ciutat Vella,1,el Raval,1,1001,..,19,3,2
2010,1,Ciutat Vella,1,el Raval,1,1001,..,234,3,1
2010,1,Ciutat Vella,1,el Raval,1,1001,..,234,3,2
2010,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,1
2010,1,Ciutat Vella,1,el Raval,1,1001,..,101,3,2
2010,1,Ciutat Vella,1,el Raval,1,1001,..,161,3,1
2010,1,Ciutat Vella,1,el Raval,1,1001,..,161,3,2
2010,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,1
2010,1,Ciutat Vella,1,el Raval,1,1002,..,58,4,2
2010,1,Ciutat Vella,1,el Raval,1,1002,..,207,4,2
2010,1,Ciutat Vella,1,el Raval,1,1002,..,120,4,2
2010,1,Ciutat Vella,1,el Raval,1,1002,..,27,2,1
2010,1,Ciutat Vella,1,el Raval,1,1002,..,19,3,1
2010,1,Ciutat Vella,1,el Raval,1,1002,..,19,3,2
2010,1,Ciutat Vella,1,el Raval,1,1002,..,234,3,2
2010,1,Ciutat Vella,1,el Raval,1,1002,..,65,3,1
2010,1,Ciutat Vella,1,el Raval,1,1002,..,65,3,2
2010,1,Ciutat Vella,1,el Raval,1,1002,..,101,3,1
2010,1,Ciutat Vella,1,el Raval,1,1002,..,161,3,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,58,4,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,58,4,2
2010,1,Ciutat Vella,1,el Raval,2,1003,..,170,4,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,179,4,2
2010,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,135,1,2
2010,1,Ciutat Vella,1,el Raval,2,1003,..,177,2,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,19,3,2
2010,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,65,3,2
2010,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,101,3,2
2010,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,1
2010,1,Ciutat Vella,1,el Raval,2,1003,..,161,3,2
2010,1,Ciutat Vella,1,el Raval,2,1004,8,58,4,1
2010,1,Ciutat Vella,1,el Raval,2,1004,10,58,4,2
2010,1,Ciutat Vella,1,el Raval,2,1004,..,67,4,1
2010,1,Ciutat Vella,1,el Raval,2,1004,..,5,1,1
2010,1,Ciutat Vella,1,el Raval,2,1004,..,135,1,1
2010,1,Ciutat Vella,1,el Raval,2,1004,..,135,1,2
2010,1,Ciutat Vella,1,el Raval,2,1004,..,219,1,1
2010,1,Ciutat Vella,1,el Raval,2,1004,..,177,2,2
2010,1,Ciutat Vella,1,el Raval,2,1004,..,27,2,2
2010,1,Ciutat Vella,1,el Raval,2,1004,..,19,3,2
2010,1,Ciutat Vella,1,el Raval,2,1004,..,234,3,1
2010,1,Ciutat Vella,1,el Raval,2,1004,..,234,3,2
2010,1,Ciutat Vella,1,el Raval,2,1004,..,65,3,2
2010,1,Ciutat Vella,1,el Raval,2,1004,..,101,3,1
2010,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,1
2010,1,Ciutat Vella,1,el Raval,2,1004,..,161,3,2
2010,1,Ciutat Vella,1,el Raval,3,1005,5,58,4,1
2010,1,Ciutat Vella,1,el Raval,3,1005,7,58,4,2
2010,1,Ciutat Vella,1,el Raval,3,1005,..,160,4,1
2010,1,Ciutat Vella,1,el Raval,3,1005,..,135,1,1
2010,1,Ciutat Vella,1,el Raval,3,1005,..,177,2,2
2010,1,Ciutat Vella,1,el Raval,3,1005,..,19,3,1
2010,1,Ciutat Vella,1,el Raval,3,1005,..,65,3,2
2010,1,Ciutat Vella,1,el Raval,3,1005,..,161,3,1
2010,1,Ciutat Vella,1,el Raval,3,1005,5,161,3,2
2010,1,Ciutat Vella,1,el Raval,3,1006,..,58,4,1
2010,1,Ciutat Vella,1,el Raval,3,1006,..,19,3,1
2010,1,Ciutat Vella,1,el Raval,3,1006,..,19,3,2
2010,1,Ciutat Vella,1,el Raval,3,1006,..,65,3,1
2010,1,Ciutat Vella,1,el Raval,3,1006,..,65,3,2
2010,1,Ciutat Vella,1,el Raval,3,1006,..,161,3,1
2010,1,Ciutat Vella,1,el Raval,3,1007,6,58,4,1
2010,1,Ciutat Vella,1,el Raval,3,1007,5,58,4,2
2010,1,Ciutat Vella,1,el Raval,3,1007,..,67,4,1
2010,1,Ciutat Vella,1,el Raval,3,1007,..,174,4,2
2010,1,Ciutat Vella,1,el Raval,3,1007,..,133,1,2
2010,1,Ciutat Vella,1,el Raval,3,1007,..,135,1,1
2010,1,Ciutat Vella,1,el Raval,3,1007,..,39,2,2
2010,1,Ciutat Vella,1,el Raval,3,1007,..,54,2,2
2010,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,1
2010,1,Ciutat Vella,1,el Raval,3,1007,..,19,3,2
2010,1,Ciutat Vella,1,el Raval,3,1007,..,101,3,2
2010,1,Ciutat Vella,1,el Raval,3,1007,..,161,3,1
2010,1,Ciutat Vella,1,el Raval,3,1007,..,161,3,2
2010,1,Ciutat Vella,1,el Raval,4,1008,8,58,4,1
2010,1,Ciutat Vella,1,el Raval,4,1008,..,58,4,2
2010,1,Ciutat Vella,1,el Raval,4,1008,..,67,4,1
2010,1,Ciutat Vella,1,el Raval,4,1008,..,225,4,1
2010,1,Ciutat Vella,1,el Raval,4,1008,5,135,1,2
2010,1,Ciutat Vella,1,el Raval,4,1008,..,54,2,1
2010,1,Ciutat Vella,1,el Raval,4,1008,..,166,2,1
2010,1,Ciutat Vella,1,el Raval,4,1008,..,19,3,1
2010,1,Ciutat Vella,1,el Raval,4,1008,..,19,3,2
2010,1,Ciutat Vella,1,el Raval,4,1008,..,234,3,1
2010,1,Ciutat Vella,1,el Raval,4,1008,..,65,3,1
