Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Index_Gini
2021,1,Ciutat Vella,1,el Raval,1,37.5
2021,1,Ciutat Vella,1,el Raval,2,35.4
2021,1,Ciutat Vella,1,el Raval,3,36.2
2021,1,Ciutat Vella,1,el Raval,4,35
2021,1,Ciutat Vella,1,el Raval,5,36.8
2021,1,Ciutat Vella,1,el Raval,6,38.4
2021,1,Ciutat Vella,1,el Raval,7,36
2021,1,Ciutat Vella,1,el Raval,8,31.1
2021,1,Ciutat Vella,1,el Raval,9,37.7
2021,1,Ciutat Vella,1,el Raval,10,34.1
2021,1,Ciutat Vella,1,el Raval,11,32.8
2021,1,Ciutat Vella,1,el Raval,12,34.4
2021,1,Ciutat Vella,1,el Raval,13,33.6
2021,1,Ciutat Vella,1,el Raval,14,29.7
2021,1,Ciutat Vella,1,el Raval,15,34.5
2021,1,Ciutat Vella,1,el Raval,16,29.6
2021,1,Ciutat Vella,1,el Raval,17,30.6
2021,1,Ciutat Vella,1,el Raval,18,31.2
2021,1,Ciutat Vella,1,el Raval,19,35.4
2021,1,Ciutat Vella,1,el Raval,20,36.6
2021,1,Ciutat Vella,1,el Raval,21,37.8
2021,1,Ciutat Vella,2,el Barri Gòtic,22,42.1
2021,1,Ciutat Vella,2,el Barri Gòtic,23,37.6
2021,1,Ciutat Vella,2,el Barri Gòtic,25,37.8
2021,1,Ciutat Vella,2,el Barri Gòtic,26,38.5
2021,1,Ciutat Vella,2,el Barri Gòtic,27,36.3
2021,1,Ciutat Vella,2,el Barri Gòtic,28,38.3
2021,1,Ciutat Vella,2,el Barri Gòtic,29,40.3
2021,1,Ciutat Vella,2,el Barri Gòtic,30,38
2021,1,Ciutat Vella,2,el Barri Gòtic,31,43.3
2021,1,Ciutat Vella,3,la Barceloneta,32,35.9
2021,1,Ciutat Vella,3,la Barceloneta,33,34
2021,1,Ciutat Vella,3,la Barceloneta,34,35.3
2021,1,Ciutat Vella,3,la Barceloneta,35,30.8
2021,1,Ciutat Vella,3,la Barceloneta,36,32.2
2021,1,Ciutat Vella,3,la Barceloneta,37,31.9
2021,1,Ciutat Vella,3,la Barceloneta,38,33.2
2021,1,Ciutat Vella,3,la Barceloneta,39,32.3
2021,1,Ciutat Vella,3,la Barceloneta,40,37.3
2021,1,Ciutat Vella,3,la Barceloneta,41,35.7
2021,1,Ciutat Vella,3,la Barceloneta,42,31.4
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,38.2
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,39.4
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,37.1
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,35.9
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,36.8
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,37.5
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,38
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,36.4
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,38.4
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,39.9
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,34.1
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,33.5
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,36.2
2021,2,L'Eixample,5,el Fort Pienc,1,33.4
2021,2,L'Eixample,5,el Fort Pienc,2,34
2021,2,L'Eixample,5,el Fort Pienc,3,31.9
2021,2,L'Eixample,5,el Fort Pienc,4,33.1
2021,2,L'Eixample,5,el Fort Pienc,5,30.5
2021,2,L'Eixample,5,el Fort Pienc,6,34.1
2021,2,L'Eixample,5,el Fort Pienc,7,31.6
2021,2,L'Eixample,5,el Fort Pienc,8,31.9
2021,2,L'Eixample,5,el Fort Pienc,9,32.6
2021,2,L'Eixample,5,el Fort Pienc,10,34
2021,2,L'Eixample,5,el Fort Pienc,11,30.3
2021,2,L'Eixample,5,el Fort Pienc,12,31.8
2021,2,L'Eixample,5,el Fort Pienc,13,34.7
2021,2,L'Eixample,5,el Fort Pienc,14,29.1
2021,2,L'Eixample,5,el Fort Pienc,15,34.6
2021,2,L'Eixample,5,el Fort Pienc,16,30.1
2021,2,L'Eixample,5,el Fort Pienc,17,32.5
2021,2,L'Eixample,5,el Fort Pienc,18,33.4
2021,2,L'Eixample,5,el Fort Pienc,19,32.1
2021,2,L'Eixample,5,el Fort Pienc,20,33.8
2021,2,L'Eixample,6,la Sagrada Família,21,32.3
2021,2,L'Eixample,6,la Sagrada Família,22,36.1
2021,2,L'Eixample,6,la Sagrada Família,23,30.9
2021,2,L'Eixample,6,la Sagrada Família,24,34.9
2021,2,L'Eixample,6,la Sagrada Família,25,32.7
2021,2,L'Eixample,6,la Sagrada Família,26,34.2
2021,2,L'Eixample,6,la Sagrada Família,27,35
2021,2,L'Eixample,6,la Sagrada Família,28,33.7
2021,2,L'Eixample,6,la Sagrada Família,29,31.7
2021,2,L'Eixample,6,la Sagrada Família,30,30.7
2021,2,L'Eixample,6,la Sagrada Família,31,28.9
2021,2,L'Eixample,6,la Sagrada Família,32,30.4
2021,2,L'Eixample,6,la Sagrada Família,33,31.5
2021,2,L'Eixample,6,la Sagrada Família,34,32.6
2021,2,L'Eixample,6,la Sagrada Família,35,31.3
2021,2,L'Eixample,6,la Sagrada Família,36,29
2021,2,L'Eixample,6,la Sagrada Família,37,28.1
2021,2,L'Eixample,6,la Sagrada Família,38,31.4
2021,2,L'Eixample,6,la Sagrada Família,39,32.1
2021,2,L'Eixample,6,la Sagrada Família,40,33
2021,2,L'Eixample,6,la Sagrada Família,41,32.8
2021,2,L'Eixample,6,la Sagrada Família,42,30.9
2021,2,L'Eixample,6,la Sagrada Família,43,32
2021,2,L'Eixample,6,la Sagrada Família,44,35
