Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_valors,Valors
2018,1,Ciutat Vella,1,el Raval,1,Valor_cadastral_total_€,67059673.9
2018,1,Ciutat Vella,1,el Raval,2,Valor_cadastral_total_€,49981470.7
2018,1,Ciutat Vella,1,el Raval,3,Valor_cadastral_total_€,71692363.5
2018,1,Ciutat Vella,1,el Raval,4,Valor_cadastral_total_€,93534623.3
2018,1,Ciutat Vella,1,el Raval,5,Valor_cadastral_total_€,96442596.5
2018,1,Ciutat Vella,1,el Raval,6,Valor_cadastral_total_€,61516021.7
2018,1,Ciutat Vella,1,el Raval,7,Valor_cadastral_total_€,56544687.8
2018,1,Ciutat Vella,1,el Raval,8,Valor_cadastral_total_€,63017865.8
2018,1,Ciutat Vella,1,el Raval,9,Valor_cadastral_total_€,53302189.1
2018,1,Ciutat Vella,1,el Raval,10,Valor_cadastral_total_€,46385728.6
2018,1,Ciutat Vella,1,el Raval,11,Valor_cadastral_total_€,76314241.8
2018,1,Ciutat Vella,1,el Raval,12,Valor_cadastral_total_€,59635545.1
2018,1,Ciutat Vella,1,el Raval,13,Valor_cadastral_total_€,42678092.5
2018,1,Ciutat Vella,1,el Raval,14,Valor_cadastral_total_€,47045986.8
2018,1,Ciutat Vella,1,el Raval,15,Valor_cadastral_total_€,63577841.1
2018,1,Ciutat Vella,1,el Raval,16,Valor_cadastral_total_€,59589402.2
2018,1,Ciutat Vella,1,el Raval,17,Valor_cadastral_total_€,56888329.5
2018,1,Ciutat Vella,1,el Raval,18,Valor_cadastral_total_€,48459690.2
2018,1,Ciutat Vella,1,el Raval,19,Valor_cadastral_total_€,104816884.5
2018,1,Ciutat Vella,1,el Raval,20,Valor_cadastral_total_€,123350014.7
2018,1,Ciutat Vella,1,el Raval,21,Valor_cadastral_total_€,162711463.2
2018,1,Ciutat Vella,2,el Gòtic,22,Valor_cadastral_total_€,159850818.1
2018,1,Ciutat Vella,2,el Gòtic,23,Valor_cadastral_total_€,176257131.1
2018,1,Ciutat Vella,2,el Gòtic,25,Valor_cadastral_total_€,105672490.1
2018,1,Ciutat Vella,2,el Gòtic,26,Valor_cadastral_total_€,86871328.1
2018,1,Ciutat Vella,2,el Gòtic,27,Valor_cadastral_total_€,101108944.2
2018,1,Ciutat Vella,2,el Gòtic,28,Valor_cadastral_total_€,141398925.2
2018,1,Ciutat Vella,2,el Gòtic,29,Valor_cadastral_total_€,79066791.6
2018,1,Ciutat Vella,2,el Gòtic,30,Valor_cadastral_total_€,136096039.2
2018,1,Ciutat Vella,2,el Gòtic,31,Valor_cadastral_total_€,94565972.8
2018,1,Ciutat Vella,3,la Barceloneta,32,Valor_cadastral_total_€,75781866.1
2018,1,Ciutat Vella,3,la Barceloneta,33,Valor_cadastral_total_€,39822516.4
2018,1,Ciutat Vella,3,la Barceloneta,34,Valor_cadastral_total_€,34791041.4
2018,1,Ciutat Vella,3,la Barceloneta,35,Valor_cadastral_total_€,38262390.1
2018,1,Ciutat Vella,3,la Barceloneta,36,Valor_cadastral_total_€,74580850.7
2018,1,Ciutat Vella,3,la Barceloneta,37,Valor_cadastral_total_€,46487002.4
2018,1,Ciutat Vella,3,la Barceloneta,38,Valor_cadastral_total_€,44184390.5
2018,1,Ciutat Vella,3,la Barceloneta,39,Valor_cadastral_total_€,53292012.9
2018,1,Ciutat Vella,3,la Barceloneta,40,Valor_cadastral_total_€,45782696.2
2018,1,Ciutat Vella,3,la Barceloneta,41,Valor_cadastral_total_€,48348198.0
2018,1,Ciutat Vella,3,la Barceloneta,42,Valor_cadastral_total_€,81213945.6
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Valor_cadastral_total_€,131320871.3
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Valor_cadastral_total_€,97154304.1
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Valor_cadastral_total_€,117037718.9
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Valor_cadastral_total_€,102252100.4
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Valor_cadastral_total_€,85413230.0
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Valor_cadastral_total_€,88229902.4
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Valor_cadastral_total_€,72027562.3
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Valor_cadastral_total_€,66922950.4
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Valor_cadastral_total_€,65984699.3
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Valor_cadastral_total_€,167548371.5
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Valor_cadastral_total_€,84227309.5
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Valor_cadastral_total_€,57533737.7
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Valor_cadastral_total_€,69018790.7
2018,2,Eixample,5,el Fort Pienc,1,Valor_cadastral_total_€,62197622.5
2018,2,Eixample,5,el Fort Pienc,2,Valor_cadastral_total_€,85271448.0
2018,2,Eixample,5,el Fort Pienc,3,Valor_cadastral_total_€,49324116.1
2018,2,Eixample,5,el Fort Pienc,4,Valor_cadastral_total_€,57299359.6
2018,2,Eixample,5,el Fort Pienc,5,Valor_cadastral_total_€,110555460.3
2018,2,Eixample,5,el Fort Pienc,6,Valor_cadastral_total_€,99128329.7
2018,2,Eixample,5,el Fort Pienc,7,Valor_cadastral_total_€,75038849.4
2018,2,Eixample,5,el Fort Pienc,8,Valor_cadastral_total_€,89362058.8
2018,2,Eixample,5,el Fort Pienc,9,Valor_cadastral_total_€,80241450.8
2018,2,Eixample,5,el Fort Pienc,10,Valor_cadastral_total_€,57313640.7
2018,2,Eixample,5,el Fort Pienc,11,Valor_cadastral_total_€,53431410.7
2018,2,Eixample,5,el Fort Pienc,12,Valor_cadastral_total_€,56971999.3
2018,2,Eixample,5,el Fort Pienc,13,Valor_cadastral_total_€,42656956.7
