Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_valors,Valors
2019,1,Ciutat Vella,1,el Raval,1,Valor_cadastral_total_€,67059674.43
2019,1,Ciutat Vella,1,el Raval,2,Valor_cadastral_total_€,49981470.75
2019,1,Ciutat Vella,1,el Raval,3,Valor_cadastral_total_€,71692363.84
2019,1,Ciutat Vella,1,el Raval,4,Valor_cadastral_total_€,93534623.22
2019,1,Ciutat Vella,1,el Raval,5,Valor_cadastral_total_€,96442596.29
2019,1,Ciutat Vella,1,el Raval,6,Valor_cadastral_total_€,61516021.54
2019,1,Ciutat Vella,1,el Raval,7,Valor_cadastral_total_€,56544688.33
2019,1,Ciutat Vella,1,el Raval,8,Valor_cadastral_total_€,63017865.28
2019,1,Ciutat Vella,1,el Raval,9,Valor_cadastral_total_€,53302189.15
2019,1,Ciutat Vella,1,el Raval,10,Valor_cadastral_total_€,46385728.67
2019,1,Ciutat Vella,1,el Raval,11,Valor_cadastral_total_€,76314241.64
2019,1,Ciutat Vella,1,el Raval,12,Valor_cadastral_total_€,59635545.11
2019,1,Ciutat Vella,1,el Raval,13,Valor_cadastral_total_€,42678092.90
2019,1,Ciutat Vella,1,el Raval,14,Valor_cadastral_total_€,47045986.35
2019,1,Ciutat Vella,1,el Raval,15,Valor_cadastral_total_€,63577840.50
2019,1,Ciutat Vella,1,el Raval,16,Valor_cadastral_total_€,59589402.04
2019,1,Ciutat Vella,1,el Raval,17,Valor_cadastral_total_€,56853025.96
2019,1,Ciutat Vella,1,el Raval,18,Valor_cadastral_total_€,48459690.50
2019,1,Ciutat Vella,1,el Raval,19,Valor_cadastral_total_€,104816883.96
2019,1,Ciutat Vella,1,el Raval,20,Valor_cadastral_total_€,123350014.72
2019,1,Ciutat Vella,1,el Raval,21,Valor_cadastral_total_€,162792029.91
2019,1,Ciutat Vella,2,el Gòtic,22,Valor_cadastral_total_€,159850818.24
2019,1,Ciutat Vella,2,el Gòtic,23,Valor_cadastral_total_€,176257131.96
2019,1,Ciutat Vella,2,el Gòtic,25,Valor_cadastral_total_€,105648232.82
2019,1,Ciutat Vella,2,el Gòtic,26,Valor_cadastral_total_€,87100162.46
2019,1,Ciutat Vella,2,el Gòtic,27,Valor_cadastral_total_€,101108945.09
2019,1,Ciutat Vella,2,el Gòtic,28,Valor_cadastral_total_€,141357894.40
2019,1,Ciutat Vella,2,el Gòtic,29,Valor_cadastral_total_€,79066791.65
2019,1,Ciutat Vella,2,el Gòtic,30,Valor_cadastral_total_€,136096040.07
2019,1,Ciutat Vella,2,el Gòtic,31,Valor_cadastral_total_€,94565972.76
2019,1,Ciutat Vella,3,la Barceloneta,32,Valor_cadastral_total_€,75781867.50
2019,1,Ciutat Vella,3,la Barceloneta,33,Valor_cadastral_total_€,39822516.56
2019,1,Ciutat Vella,3,la Barceloneta,34,Valor_cadastral_total_€,34791041.28
2019,1,Ciutat Vella,3,la Barceloneta,35,Valor_cadastral_total_€,38262388.93
2019,1,Ciutat Vella,3,la Barceloneta,36,Valor_cadastral_total_€,74580849.07
2019,1,Ciutat Vella,3,la Barceloneta,37,Valor_cadastral_total_€,46487001.99
2019,1,Ciutat Vella,3,la Barceloneta,38,Valor_cadastral_total_€,44184390.31
2019,1,Ciutat Vella,3,la Barceloneta,39,Valor_cadastral_total_€,53292013.24
2019,1,Ciutat Vella,3,la Barceloneta,40,Valor_cadastral_total_€,45782696.07
2019,1,Ciutat Vella,3,la Barceloneta,41,Valor_cadastral_total_€,48348197.88
2019,1,Ciutat Vella,3,la Barceloneta,42,Valor_cadastral_total_€,81213947.43
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Valor_cadastral_total_€,131327664.39
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Valor_cadastral_total_€,97154299.39
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Valor_cadastral_total_€,117872329.41
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Valor_cadastral_total_€,102252100.04
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Valor_cadastral_total_€,85413230.16
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Valor_cadastral_total_€,88229902.94
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Valor_cadastral_total_€,72027562.16
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Valor_cadastral_total_€,66922950.36
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Valor_cadastral_total_€,65984699.39
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Valor_cadastral_total_€,167548372.03
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Valor_cadastral_total_€,84227308.54
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Valor_cadastral_total_€,57533737.89
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Valor_cadastral_total_€,69018790.28
2019,2,Eixample,5,el Fort Pienc,1,Valor_cadastral_total_€,62197620.97
2019,2,Eixample,5,el Fort Pienc,2,Valor_cadastral_total_€,85126211.70
2019,2,Eixample,5,el Fort Pienc,3,Valor_cadastral_total_€,49324115.28
2019,2,Eixample,5,el Fort Pienc,4,Valor_cadastral_total_€,57299359.39
2019,2,Eixample,5,el Fort Pienc,5,Valor_cadastral_total_€,110555461.00
2019,2,Eixample,5,el Fort Pienc,6,Valor_cadastral_total_€,99128329.95
2019,2,Eixample,5,el Fort Pienc,7,Valor_cadastral_total_€,75038848.92
2019,2,Eixample,5,el Fort Pienc,8,Valor_cadastral_total_€,89362056.43
2019,2,Eixample,5,el Fort Pienc,9,Valor_cadastral_total_€,80241450.14
2019,2,Eixample,5,el Fort Pienc,10,Valor_cadastral_total_€,57313641.50
2019,2,Eixample,5,el Fort Pienc,11,Valor_cadastral_total_€,53431410.10
2019,2,Eixample,5,el Fort Pienc,12,Valor_cadastral_total_€,56971999.26
2019,2,Eixample,5,el Fort Pienc,13,Valor_cadastral_total_€,42656956.08
2019,2,Eixample,5,el Fort Pienc,14,Valor_cadastral_total_€,53377895.67
2019,2,Eixample,5,el Fort Pienc,15,Valor_cadastral_total_€,64081439.06
2019,2,Eixample,5,el Fort Pienc,16,Valor_cadastral_total_€,94692925.85
2019,2,Eixample,5,el Fort Pienc,17,Valor_cadastral_total_€,101971325.13
2019,2,Eixample,5,el Fort Pienc,18,Valor_cadastral_total_€,105500087.44
2019,2,Eixample,5,el Fort Pienc,19,Valor_cadastral_total_€,94410076.45
2019,2,Eixample,5,el Fort Pienc,20,Valor_cadastral_total_€,66719591.27
2019,2,Eixample,6,la Sagrada Família,21,Valor_cadastral_total_€,61405574.34
