Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_valors,Valors
2023,1,Ciutat Vella,1,el Raval,1,Valor_sòl_total_€,47308609.84
2023,1,Ciutat Vella,1,el Raval,1,Valor_construcció_més_serveis_total_€,19682787.35
2023,1,Ciutat Vella,1,el Raval,1,Valor_cadastral_total_€,66991397.18
2023,1,Ciutat Vella,1,el Raval,1,Valor_cadastral_unitari_€/m2,981.97
2023,1,Ciutat Vella,1,el Raval,1,Valor_construcció_més_serveis_unitari_€/m2,288.51
2023,1,Ciutat Vella,1,el Raval,1,Valor_sòl_unitari_€/m2,693.45
2023,1,Ciutat Vella,1,el Raval,2,Valor_sòl_total_€,39689497.82
2023,1,Ciutat Vella,1,el Raval,2,Valor_construcció_més_serveis_total_€,12569422.01
2023,1,Ciutat Vella,1,el Raval,2,Valor_cadastral_total_€,52258919.83
2023,1,Ciutat Vella,1,el Raval,2,Valor_cadastral_unitari_€/m2,927.92
2023,1,Ciutat Vella,1,el Raval,2,Valor_construcció_més_serveis_unitari_€/m2,223.19
2023,1,Ciutat Vella,1,el Raval,2,Valor_sòl_unitari_€/m2,704.74
2023,1,Ciutat Vella,1,el Raval,3,Valor_sòl_total_€,51578382.86
2023,1,Ciutat Vella,1,el Raval,3,Valor_construcció_més_serveis_total_€,20684296.12
2023,1,Ciutat Vella,1,el Raval,3,Valor_cadastral_total_€,72262678.97
2023,1,Ciutat Vella,1,el Raval,3,Valor_cadastral_unitari_€/m2,847.69
2023,1,Ciutat Vella,1,el Raval,3,Valor_construcció_més_serveis_unitari_€/m2,242.64
2023,1,Ciutat Vella,1,el Raval,3,Valor_sòl_unitari_€/m2,605.05
2023,1,Ciutat Vella,1,el Raval,4,Valor_sòl_total_€,67881636.56
2023,1,Ciutat Vella,1,el Raval,4,Valor_construcció_més_serveis_total_€,29455030.89
2023,1,Ciutat Vella,1,el Raval,4,Valor_cadastral_total_€,97336667.45
2023,1,Ciutat Vella,1,el Raval,4,Valor_cadastral_unitari_€/m2,882.68
2023,1,Ciutat Vella,1,el Raval,4,Valor_construcció_més_serveis_unitari_€/m2,267.11
2023,1,Ciutat Vella,1,el Raval,4,Valor_sòl_unitari_€/m2,615.57
2023,1,Ciutat Vella,1,el Raval,5,Valor_sòl_total_€,75607452.52
2023,1,Ciutat Vella,1,el Raval,5,Valor_construcció_més_serveis_total_€,25105844.82
2023,1,Ciutat Vella,1,el Raval,5,Valor_cadastral_total_€,100713297.34
2023,1,Ciutat Vella,1,el Raval,5,Valor_cadastral_unitari_€/m2,896.27
2023,1,Ciutat Vella,1,el Raval,5,Valor_construcció_més_serveis_unitari_€/m2,223.42
2023,1,Ciutat Vella,1,el Raval,5,Valor_sòl_unitari_€/m2,672.85
2023,1,Ciutat Vella,1,el Raval,6,Valor_sòl_total_€,46747962.55
2023,1,Ciutat Vella,1,el Raval,6,Valor_construcció_més_serveis_total_€,15428188.83
2023,1,Ciutat Vella,1,el Raval,6,Valor_cadastral_total_€,62176151.38
2023,1,Ciutat Vella,1,el Raval,6,Valor_cadastral_unitari_€/m2,785.83
2023,1,Ciutat Vella,1,el Raval,6,Valor_construcció_més_serveis_unitari_€/m2,194.99
2023,1,Ciutat Vella,1,el Raval,6,Valor_sòl_unitari_€/m2,590.83
2023,1,Ciutat Vella,1,el Raval,7,Valor_sòl_total_€,40876924.91
2023,1,Ciutat Vella,1,el Raval,7,Valor_construcció_més_serveis_total_€,15163950.9
2023,1,Ciutat Vella,1,el Raval,7,Valor_cadastral_total_€,56040875.8
2023,1,Ciutat Vella,1,el Raval,7,Valor_cadastral_unitari_€/m2,826.81
2023,1,Ciutat Vella,1,el Raval,7,Valor_construcció_més_serveis_unitari_€/m2,223.72
2023,1,Ciutat Vella,1,el Raval,7,Valor_sòl_unitari_€/m2,603.09
2023,1,Ciutat Vella,1,el Raval,8,Valor_sòl_total_€,44569063.08
2023,1,Ciutat Vella,1,el Raval,8,Valor_construcció_més_serveis_total_€,17553469.74
2023,1,Ciutat Vella,1,el Raval,8,Valor_cadastral_total_€,62122532.82
2023,1,Ciutat Vella,1,el Raval,8,Valor_cadastral_unitari_€/m2,808.19
