Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,176,1
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,129,2
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,71,3
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,4
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,5
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,6
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,7
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,4,8
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,9
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,217,1
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,124,2
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,69,3
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,50,4
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,30,5
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,6
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,15,7
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,8
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,19,9
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,330,1
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,216,2
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,155,3
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,118,4
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,73,5
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,53,6
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,34,7
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,21,8
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,36,9
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,356,1
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,263,2
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,160,3
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,122,4
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,49,5
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,31,6
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,7
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,17,8
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,21,9
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,319,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,252,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,137,3
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,82,4
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,45,5
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,23,6
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,16,7
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,11,8
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,33,9
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,220,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,151,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,79,3
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,52,4
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,39,5
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,14,6
