Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,200,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,127,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,78,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,54,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,5
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,6
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,7
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,3,8
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,9
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,203,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,146,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,69,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,52,4
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,5
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,6
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,7
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,8
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,9
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,356,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,241,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,170,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,119,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,79,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,6
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,27,7
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,21,8
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,24,9
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,412,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,269,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,156,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,117,4
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,75,5
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,32,6
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,11,7
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,8
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,26,9
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,384,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,236,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,132,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,91,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,51,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,25,6
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,16,7
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,5,8
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,14,9
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,236,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,150,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,83,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,64,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,32,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,21,6
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,11,7
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,4,8
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,16,9
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,234,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,160,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,106,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,62,4
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,52,5
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,22,6
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,20,7
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,7,8
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,17,9
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,359,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,214,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,148,3
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,134,4
