Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,201,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,127,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,66,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,56,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,5
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,6
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,7
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,8
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,9
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,197,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,141,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,76,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,55,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,31,5
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,6
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,7
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,8
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,9
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,342,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,246,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,168,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,116,4
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,79,5
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,50,6
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,28,7
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,22,8
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,31,9
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,396,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,271,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,156,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,125,4
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,69,5
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,26,6
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,22,7
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,9,8
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,30,9
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,357,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,256,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,139,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,83,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,55,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,20,6
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,21,7
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,8
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,19,9
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,232,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,157,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,78,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,56,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,34,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,21,6
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,7
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,6,8
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,20,9
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,236,1
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,164,2
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,101,3
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,66,4
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,54,5
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,29,6
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,14,7
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,12,8
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,22,9
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,336,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,218,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,157,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,111,4
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,73,5
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,45,6
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,40,7
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,26,8
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,42,9
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,300,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,209,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,112,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,89,4
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,69,5
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,6
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,13,7
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,9,8
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,9
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,247,1
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,194,2
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,144,3
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,84,4
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,49,5
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,36,6
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,23,7
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,14,8
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,33,9
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,387,1
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,267,2
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,165,3
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,112,4
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,82,5
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,50,6
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,30,7
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,24,8
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,32,9
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,277,1
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,173,2
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,121,3
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,60,4
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,49,5
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,26,6
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,14,7
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,11,8
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,13,9
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,147,1
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,131,2
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,87,3
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,49,4
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,37,5
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,19,6
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,18,7
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,6,8
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,13,9
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,194,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,154,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,89,3
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,59,4
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,42,5
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,22,6
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,18,7
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,13,8
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,16,9
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,272,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,208,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,131,3
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,110,4
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,53,5
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,27,6
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,24,7
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,7,8
